action_id,origin,label,mode,target,receiver,timeout_profile,return_after_error,session_resume
CL25.A2,CL25,Ya realice el pago,payment-method,CL11,,READ,CL25,CL25
CL25.A3,CL25,Elegir otro medio,navigate,CL10,,READ,CL25,CL25
CL26.A1,CL26,Iniciar sesión,navigate,CL02,,AUTH,CL26,CL26
CL26.A2,CL26,Consultar orden,navigate,CL08,,READ,CL26,CL26
CL26.A3,CL26,Pedir ayuda,navigate,CL23,,READ,CL26,CL26
VR01.A1,VR01,Obtener voucher,navigate,VR04,,DOC,VR01,VR01
VR01.A2,VR01,Imprimir voucher,navigate,VR04,,DOC,VR01,VR01
VR01.A3,VR01,Descargar PDF,document-local,VR01,,DOC,VR01,VR01
VR02.A1,VR02,Obtener voucher,navigate,VR04,,DOC,VR02,VR02
VR02.A2,VR02,Ver versión,navigate,VR04,,DOC,VR02,VR02
VR02.A3,VR02,Volver a mi orden,navigate,CL08,,DOC,VR02,VR02
VR03.A1,VR03,Imprimir voucher,navigate,VR04,,DOC,VR03,VR03
VR03.A2,VR03,Descargar PDF,document-local,VR03,,DOC,VR03,VR03
VR03.A3,VR03,Ver movimientos,return,CL18,,DOC,VR03,VR03
VR04.A1,VR04,Abrir impresión,print,VR04,,DOC,VR04,VR04
VR04.A2,VR04,Descargar PDF,document-local,VR04,,DOC,VR04,VR04
VR04.A3,VR04,Volver a documentos,return,VR02,,DOC,VR04,VR04
